date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:14	186/186	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Jul%202026%2022:08:14%20GMT	https://francomunoz.com/robots.txt		(from )
17:08:15	354063/354063	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Mar%202026%2007:36:43%20GMT	https://francomunoz.com/	C:/My%20Web%20Sites/lawyer/francomunoz.com/index.html	(from )
17:08:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jul%202026%2022:08:16%20GMT	https://francomunoz.com/i	C:/My%20Web%20Sites/lawyer/francomunoz.com/i	(from https://francomunoz.com/)
17:08:16	2568/2568	---M--	200	added ('OK')	image/png	etag:%226648723c-a08%22	https://francomunoz.com/wp-content/themes/Franco/images/logo-icon.png	C:/My%20Web%20Sites/lawyer/francomunoz.com/wp-content/themes/Franco/images/logo-icon.png	(from https://francomunoz.com/)
17:08:16	1213/1213	---M--	200	added ('OK')	image/png	etag:%226648723b-4bd%22	https://francomunoz.com/wp-content/themes/Franco/images/line.png	C:/My%20Web%20Sites/lawyer/francomunoz.com/wp-content/themes/Franco/images/line.png	(from https://francomunoz.com/)
17:08:16	1066/1066	---M--	200	added ('OK')	image/png	etag:%226648723b-42a%22	https://francomunoz.com/wp-content/themes/Franco/images/down-arrow.png	C:/My%20Web%20Sites/lawyer/francomunoz.com/wp-content/themes/Franco/images/down-arrow.png	(from https://francomunoz.com/)
17:08:16	1033/1033	---M--	200	added ('OK')	image/png	etag:%2269d63cc5-409%22	https://francomunoz.com/wp-content/uploads/2026/04/black-right-arrow.png	C:/My%20Web%20Sites/lawyer/francomunoz.com/wp-content/uploads/2026/04/black-right-arrow.png	(from https://francomunoz.com/)
17:08:17	13268/13268	---M--	200	added ('OK')	image/webp	etag:%2267d7b9b7-33d4%22	https://francomunoz.com/wp-content/uploads/2025/03/panel1-bg.webp	C:/My%20Web%20Sites/lawyer/francomunoz.com/wp-content/uploads/2025/03/panel1-bg.webp	(from https://francomunoz.com/)
17:08:17	197044/197044	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Aug%202018%2005:31:26%20GMT	https://francomunoz.com/i-have-a-union-job-is-there-a-law-that-says-i-must-resign-to-settle-my-case-with-a-compromise-release-i-do-not-want-to-resign-the-current-adjuster-says-i-need-to-resign-to-settle-what-should-i-d/	C:/My%20Web%20Sites/lawyer/francomunoz.com/i-have-a-union-job-is-there-a-law-that-says-i-m/index.html	(from https://francomunoz.com/)
17:08:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jul%202026%2022:08:17%20GMT	https://francomunoz.com/Firefox/	C:/My%20Web%20Sites/lawyer/francomunoz.com/Firefox/index.html	(from https://francomunoz.com/)
